COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,1,1.6
Andrews,1,7.2,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2,0,0,2,12
Angelina,3,3.6,0,0,1,1.2,5,5.8,1,1.2,3,3.5,0,0,0,0,0,0,1,1.1
Aransas,0,0,0,0,0,0,0,0,0,0,2,6.9,1,4.1,0,0,0,0,0,0
Archer,0,0,0,0,0,0,0,0,1,10.4,1,10.4,3,31.9,1,10.5,0,0,1,10.4
Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atascosa,0,0,2,4.5,0,0,1,2.1,0,0,0,0,9,18.3,0,0,1,1.9,4,7.6
Austin,0,0,0,0,0,0,2,6.8,1,3.4,0,0,0,0,0,0,1,3,1,3
Bailey,0,0,0,0,0,0,1,15.9,0,0,0,0,0,0,0,0,0,0,0,0
Bandera,0,0,0,0,2,9.4,1,4.6,0,0,2,9,1,4.5,0,0,1,4.3,0,0
Bastrop,5,6.8,2,2.7,0,0,0,0,3,3.4,2,2.2,0,0,1,1.2,1,1.1,0,0
Baylor,0,0,0,0,0,0,2,50.2,0,0,0,0,1,26.8,0,0,0,0,0,0
Bee,0,0,0,0,1,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bell,3,1.1,9,3.2,3,1,13,4.4,6,2,10,3.3,6,1.7,14,4,21,5.8,22,6
Bexar,12,0.7,8,0.5,16,1,18,1.1,23,1.4,29,1.7,19,1,25,1.3,54,2.8,81,4.1
Blanco,0,0,0,0,0,0,0,0,0,0,0,0,1,8.7,0,0,0,0,1,8.2
Borden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,1,5.5,0,0,0,0,0,0,0,0,1,5.5,2,10.5,1,5.2,0,0,4,20.2
Bowie,8,8.6,4,4.2,0,0,2,2.1,3,3.2,3,3.2,6,6.4,3,3.2,5,5.3,7,7.4
Brazoria,2,0.7,0,0,7,2.2,8,2.4,9,2.7,16,4.6,12,3.4,4,1.1,5,1.4,6,1.6
Brazos,0,0,0,0,3,1.7,1,0.6,7,3.9,12,6.6,8,3.8,9,4.2,9,4.1,15,6.7
Brewster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20.5,1,10.1,1,10
Briscoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.2
Brown,0,0,0,0,0,0,0,0,0,0,2,4.9,0,0,0,0,0,0,3,7.5
Burleson,0,0,0,0,1,5.4,3,15.9,0,0,0,0,2,11,0,0,1,5.3,1,5.3
Burnet,0,0,0,0,0,0,0,0,0,0,1,1.9,1,2.2,1,2.1,3,6.2,3,6.1
Caldwell,1,2.7,0,0,0,0,1,2.5,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4,0,0,0,0,0,0
Callahan,2,14.5,0,0,0,0,0,0,1,6.7,0,0,0,0,0,0,0,0,0,0
Cameron,7,1.8,8,2,9,2.2,8,1.9,9,2.1,7,1.6,4,0.9,8,1.8,38,8.3,35,7.5
Camp,0,0,0,0,1,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson,0,0,0,0,0,0,1,14.7,0,0,0,0,0,0,1,15.7,2,31.3,0,0
Cass,1,3.3,1,3.3,0,0,0,0,0,0,3,9.8,0,0,0,0,1,3.2,2,6.3
Castro,0,0,0,0,0,0,1,13.7,0,0,0,0,0,0,0,0,0,0,1,11.5
Chambers,1,3,0,0,0,0,1,2.7,1,2.6,1,2.6,0,0,0,0,0,0,0,0
Cherokee,1,2,0,0,0,0,0,0,0,0,0,0,1,1.9,0,0,2,3.7,0,0
Childress,1,13,0,0,0,0,1,12.6,1,12.5,0,0,0,0,2,27.5,2,27.4,1,13.6
Clay,1,9,0,0,0,0,0,0,1,8.9,0,0,1,9,0,0,1,8.8,1,8.8
Cochran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.3,0,0
Coleman,1,11.5,1,11.6,0,0,0,0,1,11.2,0,0,0,0,1,11,0,0,0,0
Collin,21,2.8,11,1.4,14,1.7,17,1.9,11,1.2,19,2,26,2.8,16,1.7,35,3.5,42,4.1
Collingsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.6,0,0
Colorado,2,9.2,0,0,0,0,0,0,2,8.8,1,4.4,0,0,0,0,0,0,0,0
Comal,0,0,1,0.9,1,0.8,2,1.6,3,2.3,3,2.2,0,0,2,1.6,5,3.8,6,4.4
Comanche,0,0,0,0,1,7,1,7,0,0,1,7,0,0,3,20.8,2,13.8,3,20.6
Concho,0,0,0,0,1,26,0,0,0,0,0,0,1,23.9,0,0,0,0,0,0
Cooke,1,2.5,1,2.5,2,4.9,1,2.4,0,0,2,4.7,1,2.5,2,5,2,5,0,0
Coryell,0,0,0,0,1,1.2,3,3.7,2,2.4,3,3.6,1,1.2,1,1.2,5,6.1,4,4.8
Cottle,1,59,0,0,0,0,0,0,0,0,1,53.3,1,64.1,0,0,1,63.4,0,0
Crane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crockett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culberson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.5,0,0
Dallam,0,0,1,15.8,1,14.8,1,14.7,3,43.8,1,14.5,2,27.5,0,0,1,13.3,1,13.1
Dallas,29,1.2,28,1.2,34,1.4,48,2,32,1.3,44,1.8,61,2.5,50,2,72,2.9,71,2.8
Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.9,0,0
Deaf Smith,1,5.3,0,0,0,0,0,0,1,4.8,0,0,1,4.8,1,4.8,4,18.8,7,32.4
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0
Denton,12,1.9,13,2,27,3.8,9,1.2,21,2.7,18,2.2,30,3.9,26,3.3,27,3.3,29,3.4
De Witt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.7
Dickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dimmit,0,0,0,0,0,0,1,10.3,0,0,0,0,0,0,0,0,0,0,1,9.4
Donley,1,25.3,0,0,0,0,1,25.8,0,0,0,0,0,0,0,0,1,26.3,3,78.4
Duval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.2,0,0
Eastland,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,1,5.2,2,10.3,0,0
Ector,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,2,1.3,3,2,1,0.7
Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,1,0.7,0,0,1,0.6,2,1.2,2,1.2,3,1.7,5,3,3,1.7,8,4.5,17,9.3
El Paso,1,0.1,0,0,6,0.8,4,0.5,3,0.4,7,0.9,5,0.6,4,0.5,9,1,4,0.4
Erath,2,5.7,1,2.8,1,2.5,3,7.5,4,9.8,2,4.9,6,15.3,2,5.1,6,15,4,9.9
Falls,0,0,0,0,0,0,0,0,2,10.6,1,5.3,0,0,1,5.4,1,5.3,1,5.3
Fannin,0,0,0,0,0,0,0,0,0,0,1,2.8,0,0,0,0,2,5.5,3,8.2
Fayette,1,4.1,0,0,0,0,2,7.8,0,0,0,0,3,11.5,0,0,3,11.2,4,14.7
Fisher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.4,0,0
Floyd,0,0,0,0,0,0,0,0,0,0,1,14.9,0,0,0,0,1,15.2,1,15.2
Foard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Bend,8,1.5,5,0.9,5,0.9,18,3,20,3.2,18,2.7,25,3.6,24,3.3,17,2.3,22,2.8
Franklin,2,19,1,9.5,0,0,0,0,0,0,0,0,0,0,0,0,1,8.8,0,0
Freestone,0,0,0,0,0,0,1,4.8,0,0,1,4.7,1,4.8,2,9.6,1,4.7,1,4.7
Frio,0,0,0,0,0,0,2,11.1,0,0,1,5.5,0,0,0,0,0,0,0,0
Gaines,0,0,0,0,2,12.2,0,0,0,0,0,0,0,0,0,0,2,10,1,4.9
Galveston,0,0,3,1,3,1,6,2,8,2.6,6,1.9,9,2.9,6,1.9,14,4.4,11,3.4
Garza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillespie,2,8.2,1,4,0,0,0,0,0,0,0,0,0,0,2,7.3,0,0,3,10.6
Glasscock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
Goliad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonzales,0,0,2,10.2,0,0,0,0,1,4.8,0,0,1,4.8,1,4.7,0,0,0,0
Gray,0,0,0,0,0,0,0,0,0,0,2,8.7,1,4.3,0,0,1,4.2,0,0
Grayson,2,1.7,1,0.8,1,0.8,1,0.8,0,0,2,1.6,6,4.8,1,0.8,2,1.6,7,5.4
Gregg,0,0,0,0,1,0.8,6,4.8,4,3.2,1,0.8,3,2.4,0,0,2,1.5,1,0.8
Grimes,1,3.9,0,0,1,3.8,0,0,0,0,0,0,1,3.5,1,3.5,1,3.4,1,3.4
Guadalupe,1,0.8,0,0,2,1.6,2,1.5,2,1.4,4,2.8,1,0.7,2,1.3,4,2.5,1,0.6
Hale,0,0,0,0,0,0,3,8.1,0,0,1,2.7,3,8.1,0,0,0,0,0,0
Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.9,1,30,0,0
Hamilton,0,0,0,0,0,0,0,0,1,11,1,10.9,1,11.6,0,0,3,34.6,5,57.4
Hansford,0,0,0,0,0,0,0,0,1,19.2,0,0,0,0,0,0,1,16.3,1,16.1
Hardeman,2,46.1,0,0,0,0,0,0,0,0,0,0,2,46.7,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,1,1.9,0,0,0,0,0,0,1,1.7,0,0
Harris,52,1.3,22,0.5,59,1.4,90,2.2,123,2.9,176,4.1,116,2.6,118,2.6,164,3.6,139,3
Harrison,4,6.2,0,0,0,0,0,0,0,0,1,1.4,1,1.5,2,2.9,0,0,1,1.4
Hartley,0,0,1,17.1,1,17.2,1,17.1,0,0,0,0,0,0,0,0,0,0,0,0
Haskell,0,0,0,0,1,17,0,0,0,0,0,0,0,0,1,16.7,0,0,0,0
Hays,1,0.7,1,0.6,0,0,5,2.9,2,1.1,6,3.2,3,1.6,2,1,3,1.5,4,1.9
Hemphill,0,0,1,28.3,0,0,0,0,2,55,0,0,1,24.7,2,48.6,0,0,0,0
Henderson,1,1.3,0,0,0,0,2,2.4,0,0,0,0,2,2.5,2,2.5,3,3.7,3,3.6
Hidalgo,26,3.6,17,2.3,11,1.4,21,2.6,10,1.2,14,1.6,7,0.8,33,3.7,138,15.2,158,17
Hill,1,2.8,2,5.6,0,0,2,5.3,0,0,3,7.8,0,0,1,2.7,1,2.7,2,5.2
Hockley,1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hood,1,2,1,1.9,1,1.8,1,1.8,2,3.5,3,5.1,7,12.7,5,8.9,3,5.3,6,10.3
Hopkins,0,0,1,2.9,0,0,1,2.9,0,0,1,2.8,1,2.7,2,5.4,2,5.4,2,5.3
Houston,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,4.1,0,0
Howard,1,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,5.4,0,0
Hudspeth,0,0,0,0,0,0,0,0,0,0,0,0,1,27.1,0,0,0,0,0,0
Hunt,1,1.2,1,1.2,0,0,1,1.1,2,2.2,1,1.1,2,2.2,3,3.2,1,1.1,3,3.1
Hutchinson,0,0,0,0,1,4.2,0,0,0,0,0,0,0,0,1,4.5,0,0,3,13.4
Irion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack,1,11.3,0,0,0,0,1,11,1,11,0,0,0,0,1,10.7,2,21.2,0,0
Jackson,1,6.7,0,0,0,0,0,0,0,0,1,6.4,0,0,0,0,0,0,2,14
Jasper,1,2.8,0,0,1,2.8,1,2.8,0,0,0,0,2,5.5,0,0,0,0,0,0
Jeff Davis,0,0,0,0,0,0,1,34.2,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,2,0.8,2,0.8,5,1.9,4,1.5,2,0.8,3,1.1
Jim Hogg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jim Wells,0,0,1,2.4,0,0,1,2.3,0,0,0,0,1,2.4,0,0,4,9.3,0,0
Johnson,13,8.4,5,3.2,1,0.6,2,1.1,3,1.7,3,1.6,5,3,3,1.8,7,4.1,11,6.3
Jones,0,0,1,4.9,0,0,2,9.6,0,0,0,0,0,0,0,0,1,4.7,1,4.6
Karnes,0,0,0,0,0,0,1,5.9,0,0,0,0,0,0,0,0,0,0,1,6.3
Kaufman,1,1,2,1.9,2,1.9,0,0,7,6,1,0.8,4,3.3,1,0.8,5,3.9,3,2.2
Kendall,2,6.1,0,0,2,5.7,1,2.7,1,2.6,1,2.5,1,2.6,1,2.6,1,2.5,2,4.8
Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,0,0,0,0,0,0,1,116.7,0,0,0,0,0,0,0,0,0,0,0,0
Kerr,0,0,0,0,0,0,0,0,1,2.1,0,0,0,0,0,0,1,1.9,0,0
Kimble,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20.3
King,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleberg,0,0,0,0,0,0,0,0,2,6.3,0,0,1,3,0,0,0,0,1,2.9
Knox,0,0,0,0,0,0,0,0,1,23.4,0,0,0,0,1,26.7,0,0,0,0
Lamar,4,8,1,2,1,2,0,0,0,0,0,0,0,0,1,1.9,1,1.9,0,0
Lamb,0,0,0,0,1,6.4,1,6.4,0,0,0,0,0,0,0,0,0,0,1,6.9
Lampasas,0,0,1,4.7,1,4.4,1,4.3,1,4.2,0,0,0,0,0,0,1,4.6,0,0
La Salle,0,0,2,33.1,0,0,0,0,0,0,0,0,1,13.4,0,0,0,0,0,0
Lavaca,1,5.1,1,5.1,0,0,0,0,1,5.1,0,0,1,5.1,1,5.1,2,10.2,8,40.7
Lee,0,0,1,5.8,1,5.5,0,0,0,0,1,5.3,1,5.7,2,11.2,0,0,0,0
Leon,0,0,0,0,1,5.9,1,5.8,0,0,0,0,0,0,0,0,1,5.4,1,5.4
Liberty,0,0,0,0,3,3.7,1,1.2,2,2.4,0,0,3,3.7,1,1.2,2,2.4,2,2.3
Limestone,1,4.5,0,0,0,0,1,4.3,0,0,0,0,4,16.3,0,0,2,8,2,7.9
Lipscomb,0,0,0,0,0,0,0,0,1,31.4,0,0,0,0,1,28.2,1,27.8,0,0
Live Oak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,1,8.5,1,8.5
Llano,0,0,0,0,0,0,0,0,1,5.1,0,0,2,9.9,2,9.8,0,0,0,0
Loving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lubbock,1,0.4,0,0,0,0,1,0.4,1,0.4,0,0,1,0.3,3,1,2,0.7,8,2.6
Lynn,0,0,0,0,0,0,0,0,0,0,1,17.4,0,0,0,0,0,0,1,16.3
Mcculloch,0,0,0,0,0,0,1,11.5,0,0,0,0,0,0,0,0,0,0,0,0
Mclennan,1,0.4,1,0.4,4,1.7,2,0.8,6,2.5,5,2.1,5,2.1,15,6.1,16,6.5,14,5.6
Mcmullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,1,6.8,0,0,0,0,1,6.9,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,0,0,0,0,0,0,0,0,0,0,0,0,1,19.6,3,57.9,1,19,0,0
Mason,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0
Matagorda,0,0,0,0,0,0,1,2.6,0,0,1,2.6,0,0,1,2.6,2,5.2,0,0
Maverick,1,1.9,0,0,0,0,0,0,1,1.8,1,1.7,0,0,3,5.1,0,0,0,0
Medina,0,0,1,2.2,0,0,0,0,0,0,0,0,0,0,1,1.9,2,3.8,1,1.9
Menard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midland,10,7.8,7,5.3,0,0,2,1.5,2,1.5,0,0,3,2.1,9,6.1,13,8.7,14,9.2
Milam,0,0,0,0,1,3.8,1,3.7,3,11.2,1,3.7,3,11.7,1,3.9,3,11.6,1,3.8
Mills,0,0,0,0,0,0,1,17.9,0,0,0,0,0,0,0,0,1,19.7,0,0
Mitchell,0,0,1,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montague,0,0,1,5,1,4.9,0,0,1,4.9,1,4.9,1,4.9,1,4.9,0,0,5,23.9
Montgomery,2,0.5,3,0.7,4,0.8,5,1,13,2.5,29,5.3,16,3,9,1.6,17,3,12,2
Moore,1,5,0,0,0,0,0,0,1,4.7,0,0,2,8.5,2,8.4,2,8.2,0,0
Morris,0,0,0,0,1,7.4,3,22.1,0,0,0,0,0,0,1,7.4,0,0,0,0
Motley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nacogdoches,0,0,2,3.1,0,0,1,1.5,1,1.5,0,0,1,1.5,1,1.5,1,1.4,0,0
Navarro,1,2,1,2,2,3.9,0,0,2,3.8,2,3.7,2,3.9,1,1.9,3,5.7,1,1.9
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nolan,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,6.4,0,0,1,6.3
Nueces,1,0.3,0,0,3,0.9,2,0.6,0,0,2,0.6,1,0.3,3,0.8,6,1.7,5,1.4
Ochiltree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.6,0,0
Oldham,0,0,1,45.3,0,0,0,0,1,42.5,0,0,0,0,0,0,0,0,0,0
Orange,1,1.2,0,0,0,0,0,0,0,0,1,1.2,2,2.4,0,0,0,0,1,1.2
Palo Pinto,2,7.2,1,3.6,1,3.4,3,10,1,3.3,1,3.3,0,0,1,3.3,0,0,3,9.8
Panola,1,4.3,0,0,0,0,0,0,0,0,1,4.1,0,0,0,0,1,4,0,0
Parker,3,2.7,2,1.7,2,1.7,11,9,2,1.6,3,2.3,6,4.5,6,4.4,4,2.8,11,7.6
Parmer,0,0,1,10.3,1,9.8,0,0,0,0,0,0,1,9,0,0,1,8.7,1,8.6
Pecos,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,3,6.5,0,0,0,0,0,0,1,1.9,0,0,0,0,0,0,1,2
Potter,2,1.6,0,0,1,0.8,4,3.1,2,1.5,1,0.8,1,0.8,5,3.9,15,11.6,11,8.4
Presidio,0,0,0,0,1,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rains,0,0,0,0,0,0,0,0,0,0,0,0,1,8.5,0,0,1,8.2,0,0
Randall,1,0.9,1,0.8,1,0.8,4,3.3,1,0.8,1,0.8,2,1.6,7,5.4,20,15,8,5.9
Reagan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red River,2,14.7,0,0,2,13.9,0,0,0,0,0,0,1,7.6,0,0,0,0,1,7.5
Reeves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refugio,0,0,1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,1,13.4,1,13.4
Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101.2
Robertson,0,0,0,0,0,0,1,5.9,0,0,0,0,1,5.6,1,5.5,2,10.9,1,5.4
Rockwall,0,0,0,0,3,3.5,2,2.2,0,0,4,3.9,0,0,6,6.3,3,3,2,1.9
Runnels,0,0,1,9.1,0,0,1,8.5,0,0,0,0,2,18.7,0,0,0,0,0,0
Rusk,0,0,1,2,2,4,0,0,0,0,1,2,3,5.2,0,0,2,3.4,1,1.7
Sabine,0,0,0,0,0,0,0,0,1,9.2,0,0,0,0,0,0,0,0,0,0
San Augustine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.9,0,0
San Jacinto,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0,0,1,3.3,2,6.5
San Patricio,0,0,2,2.9,0,0,1,1.4,1,1.4,0,0,0,0,0,0,1,1.5,1,1.5
San Saba,2,33.2,0,0,0,0,0,0,2,31,0,0,0,0,0,0,2,31.7,1,15.7
Schleicher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.6,0,0
Scurry,0,0,0,0,0,0,1,5.8,0,0,0,0,0,0,0,0,0,0,0,0
Shackelford,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.9,0,0
Shelby,0,0,0,0,0,0,1,3.7,0,0,0,0,0,0,0,0,2,7.3,0,0
Sherman,0,0,0,0,0,0,0,0,0,0,1,29.5,0,0,0,0,0,0,1,30.2
Smith,2,1,3,1.5,1,0.5,2,0.9,2,0.9,0,0,5,2.2,1,0.4,4,1.7,1,0.4
Somervell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.6,2,20.7,0,0
Starr,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0,1,1.5,7,10.6,7,10.5
Stephens,0,0,0,0,0,0,2,19.4,0,0,0,0,1,10.1,0,0,0,0,1,9.9
Sterling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.8,0,0,0,0
Stonewall,0,0,0,0,0,0,0,0,1,61.6,0,0,0,0,0,0,0,0,0,0
Sutton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swisher,0,0,0,0,1,12.2,0,0,1,12.3,0,0,1,12.5,1,12.4,0,0,1,12.3
Tarrant,17,1,23,1.3,53,2.9,36,1.9,34,1.8,49,2.5,55,2.9,50,2.6,55,2.8,86,4.2
Taylor,9,7,6,4.7,5,3.8,4,3,3,2.3,5,3.8,4,3,0,0,7,5.1,4,2.9
Terrell,0,0,0,0,1,90.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry,0,0,0,0,0,0,1,8.8,0,0,0,0,0,0,0,0,0,0,1,7.6
Throckmorton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titus,1,3.3,1,3.3,0,0,1,3.1,1,3,0,0,0,0,0,0,0,0,0,0
Tom Green,0,0,1,0.9,3,2.9,4,3.9,3,2.9,0,0,3,2.7,3,2.7,0,0,0,0
Travis,3,0.3,4,0.4,8,0.8,8,0.8,8,0.8,11,1.1,12,1.1,10,0.9,19,1.6,37,3.1
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.3,2,12.5
Tyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upshur,0,0,1,2.6,0,0,3,7.8,1,2.6,0,0,0,0,1,2.4,3,7,1,2.3
Upton,0,0,1,30.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalde,0,0,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Val Verde,0,0,0,0,0,0,2,4,1,2,1,1.9,0,0,0,0,0,0,1,1.9
Van Zandt,1,1.9,0,0,1,1.9,4,7.4,2,3.7,2,3.6,0,0,2,3.6,1,1.8,3,5.3
Victoria,0,0,0,0,0,0,1,1.1,0,0,0,0,1,1.1,1,1.1,1,1.1,6,6.6
Walker,0,0,1,1.5,0,0,0,0,29,44.6,0,0,0,0,0,0,0,0,0,0
Waller,0,0,0,0,0,0,1,2.3,1,2.3,1,2.2,0,0,1,2,1,1.9,6,11.3
Ward,0,0,0,0,0,0,1,10.2,0,0,1,10.4,0,0,1,9.1,0,0,1,9
Washington,0,0,1,3,0,0,1,3,2,5.9,0,0,0,0,0,0,5,13.8,3,8.2
Webb,1,0.4,1,0.4,1,0.4,0,0,0,0,1,0.4,0,0,5,1.8,5,1.7,1,0.3
Wharton,0,0,0,0,0,0,1,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Wheeler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.7,1,17.6,1,17.4
Wichita,2,1.5,0,0,1,0.8,4,3.1,2,1.6,3,2.4,8,6.1,7,5.3,6,4.5,6,4.5
Wilbarger,0,0,0,0,0,0,0,0,0,0,1,6.5,0,0,0,0,0,0,0,0
Willacy,0,0,0,0,0,0,0,0,0,0,1,4.4,0,0,0,0,0,0,1,3.9
Williamson,0,0,0,0,2,0.5,5,1.1,3,0.6,9,1.8,6,1.2,9,1.7,7,1.3,17,3
Wilson,0,0,0,0,3,6.6,1,2.1,2,4.1,2,4,1,2.1,1,2,2,3.9,4,7.6
Winkler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wise,0,0,2,3.4,3,4.9,8,12.7,2,3.1,4,6.1,6,9.3,11,16.6,2,2.9,6,8.6
Wood,0,0,2,4.6,0,0,0,0,2,4.3,0,0,0,0,1,2.2,2,4.3,4,8.6
Yoakum,1,13.3,0,0,0,0,0,0,0,0,0,0,1,11.7,0,0,3,33.9,2,22.2
Young,2,11,1,5.5,0,0,0,0,0,0,0,0,1,5.2,0,0,1,5.2,0,0
Zapata,0,0,1,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.4
Zavala,1,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
